store_id,phone_number,time,city_id
129,01 2868 2300,2026-02-03,10
130,08 6863375,2021-12-22,17
131,(01) 0690 3311,2024-03-03,9
132,09 0306738,2022-04-14,16
133,(00)284-3959,2024-03-10,48
134,+84-53-428 3644,2021-07-03,36
135,+84-26-870568,2022-10-17,35
136,06 2462873,2025-06-12,17
137,02 7086 6882,2023-02-21,48
138,03 5175 1830,2022-07-17,38
139,+84-99-013 9837,2022-03-30,28
140,04 0331 7393,2023-03-08,38
141,(08) 5467 8544,2022-12-31,26
142,07 1753556,2021-06-05,24
143,(03)204-8996,2022-09-04,15
144,(05) 3693 7854,2025-01-06,9
145,07 7252287,2022-02-13,33
146,+84-08-010062,2025-05-31,32
147,(01) 2038 7509,2024-05-22,6
148,+84-77-008860,2021-04-13,49
149,+84-48-408 6211,2023-10-28,4
150,(03) 9845 4615,2025-12-30,8
151,09 3341016,2023-02-04,10
152,+84-70-021765,2024-01-11,41
153,(01)803-3974,2021-06-07,11
154,+84 48 9025039,2021-12-02,44
155,(06)142-9396,2024-08-01,28
156,+84-56-218501,2023-05-21,39
157,(01)599-9650,2024-05-15,5
158,(07)735-8662,2024-08-06,25
159,+84-61-943 1142,2023-02-06,25
160,(02)655-1104,2023-06-04,39
161,(04)121-2678,2023-12-22,30
162,01 0158199,2025-02-14,34
163,(06)046-6183,2024-01-22,17
164,(06) 2244 4721,2022-01-13,36
165,06 4715 4379,2024-04-13,1
166,01 2406596,2025-03-22,44
167,07 5692 4593,2023-08-06,47
168,(06) 5479 3564,2025-04-13,8
169,05 1939828,2021-05-02,44
170,+84-73-741 6724,2022-05-30,35
171,+84-26-617 9796,2023-11-15,49
172,(06)805-8911,2025-01-16,18
173,+84-52-909 6561,2021-04-02,50
174,03 8889 9375,2023-02-26,42
175,(09)825-0714,2023-04-12,22
176,+84 12 5457387,2022-12-10,8
177,+84 77 5140105,2024-06-09,19
178,+84-23-828 2586,2025-12-29,28
179,(06) 2266 0937,2024-02-28,11
180,00 3341918,2022-02-18,30
181,03 7147 8596,2024-04-03,1
182,+84-15-579249,2024-02-25,47
183,+84-25-134 1252,2023-10-03,47
184,09 2966278,2024-08-31,17
185,+84-28-274 2257,2024-04-18,33
186,(05)072-3688,2024-06-19,49
187,07 6772190,2025-03-07,12
188,(04) 0438 4279,2024-11-29,33
189,(07)881-9148,2025-04-26,7
190,08 0783 6134,2025-07-29,41
191,+84 74 5171339,2024-08-24,20
192,(09)629-2330,2024-01-19,41
193,+84-49-825449,2022-07-15,33
194,(08)126-0422,2022-06-13,39
195,+84-53-672 9466,2023-06-17,13
196,+84-16-845 7759,2021-03-18,10
197,(01)751-8636,2025-04-28,24
198,04 5458929,2025-06-18,49
199,(05)001-7012,2023-05-29,11
200,+84 63 2424154,2021-08-11,35
