store_id,product_id,stock_quantity,time
2,245,275,2026-03-02
2,492,457,2025-05-04
2,374,221,2026-03-08
2,660,18,2025-10-04
2,643,215,2025-05-24
2,616,440,2025-04-16
2,907,69,2025-06-22
2,331,80,2026-02-13
2,512,346,2025-05-15
2,377,69,2025-09-04
2,264,334,2025-04-28
2,563,441,2026-03-02
2,648,351,2025-12-08
2,328,138,2025-12-23
2,511,378,2025-04-17
2,197,263,2025-05-08
2,200,121,2026-03-12
2,914,346,2025-06-26
2,678,453,2025-12-14
2,166,279,2025-04-27
2,713,220,2025-08-05
2,542,39,2026-03-02
2,75,74,2026-02-09
2,604,392,2025-11-07
2,849,256,2026-01-17
2,806,212,2025-12-17
2,838,200,2025-09-01
2,439,189,2025-03-22
2,56,368,2025-06-21
2,447,165,2025-10-20
2,957,31,2025-08-22
2,163,196,2025-11-23
2,432,17,2025-06-03
2,807,39,2025-11-21
2,497,442,2026-01-12
2,39,417,2025-11-22
2,454,467,2025-10-02
2,215,388,2026-01-07
2,934,404,2025-04-29
2,637,206,2025-08-09
2,653,488,2025-06-04
2,641,151,2025-04-20
2,503,146,2026-02-28
2,836,452,2025-11-11
2,662,334,2025-08-07
2,194,440,2025-06-30
2,768,2,2025-06-01
2,584,59,2026-01-04
2,151,169,2026-02-13
2,117,108,2025-03-18
2,1,79,2025-11-10
2,73,395,2025-07-22
2,281,107,2025-05-17
2,761,324,2025-07-29
2,209,375,2025-09-14
2,953,45,2025-11-22
2,963,16,2025-10-05
2,133,157,2026-02-25
2,332,331,2025-08-15
2,456,417,2026-02-06
2,485,397,2025-09-07
2,978,498,2025-09-14
2,715,393,2025-05-31
2,960,469,2026-02-03
2,560,499,2025-07-21
2,424,86,2025-10-28
2,285,255,2025-11-17
2,67,21,2025-03-16
2,137,326,2025-04-13
2,51,374,2025-12-12
2,682,110,2025-10-22
2,520,43,2025-04-05
2,451,430,2025-06-26
2,126,400,2025-10-26
2,367,283,2025-07-17
2,558,108,2026-01-02
2,368,459,2025-07-16
2,150,336,2025-04-12
2,870,269,2025-10-22
3,213,468,2025-09-26
3,622,366,2025-11-19
3,446,34,2025-04-03
3,566,438,2026-01-07
3,87,378,2025-03-15
3,7,35,2025-03-30
3,714,31,2025-05-13
3,559,27,2025-11-24
3,771,224,2025-05-25
3,668,416,2025-05-11
3,948,66,2025-03-22
3,675,21,2026-01-11
3,497,333,2025-09-13
3,782,33,2025-09-19
3,738,84,2025-07-06
3,95,37,2025-07-10
3,586,85,2026-03-01
3,706,203,2026-03-11
3,712,448,2025-11-20
3,420,477,2025-09-10
3,601,442,2026-01-23
3,329,136,2025-03-21
3,181,211,2025-03-19
3,740,173,2025-09-14
3,678,279,2025-10-18
3,334,292,2025-06-18
3,736,178,2025-06-13
3,885,144,2026-03-07
3,804,177,2025-12-04
3,478,437,2025-08-26
3,215,159,2025-10-05
3,40,375,2025-08-15
3,99,463,2026-02-21
3,276,208,2025-06-10
3,783,104,2025-12-18
3,33,431,2025-09-10
3,14,203,2026-01-04
3,589,165,2026-02-20
3,60,474,2025-10-29
3,200,330,2025-07-11
3,721,425,2025-10-14
3,761,94,2025-03-24
3,473,275,2025-03-24
3,59,400,2026-01-26
3,319,485,2026-03-14
3,582,11,2026-02-05
3,352,387,2025-11-29
3,973,314,2025-05-12
3,998,182,2025-12-06
3,888,50,2025-10-15
3,466,249,2026-01-14
3,138,385,2026-02-26
3,255,91,2026-03-14
3,763,373,2025-12-07
3,450,347,2025-11-06
3,234,65,2025-06-11
3,957,286,2025-06-05
3,190,126,2025-10-10
3,66,417,2025-05-10
3,333,444,2025-04-04
3,806,187,2025-12-06
3,769,51,2025-09-14
3,199,161,2026-01-25
3,911,14,2025-12-28
3,909,489,2025-11-02
3,368,321,2025-07-23
3,814,238,2025-09-28
3,222,182,2025-08-24
3,127,203,2026-03-07
3,2,313,2026-03-05
3,464,364,2025-06-20
3,742,484,2026-01-01
3,235,382,2025-12-30
3,132,335,2025-05-01
3,403,456,2026-01-21
3,168,23,2025-11-05
3,544,214,2025-11-22
3,982,334,2025-03-14
3,495,167,2025-09-14
3,687,379,2025-08-07
3,725,328,2025-06-26
3,950,94,2025-09-13
3,250,416,2025-04-14
3,27,96,2025-07-10
3,910,346,2025-11-25
3,335,124,2025-04-23
3,362,361,2025-05-25
3,704,152,2025-03-14
3,463,4,2025-07-23
3,493,428,2025-03-31
3,251,111,2025-03-16
3,279,87,2025-05-23
3,261,203,2025-06-21
3,238,357,2025-06-16
3,963,256,2025-10-13
3,596,362,2025-07-04
3,962,254,2026-02-16
3,426,322,2026-01-06
3,994,155,2025-12-10
3,716,335,2025-11-04
4,480,370,2025-08-06
4,120,276,2025-03-24
4,695,251,2025-08-29
4,578,453,2026-02-05
4,683,413,2025-11-07
4,339,30,2025-08-05
4,101,374,2025-11-03
4,72,433,2025-06-25
4,521,253,2026-03-08
4,858,317,2025-09-01
4,190,383,2026-01-21
4,855,156,2026-02-14
4,173,467,2025-12-02
4,489,466,2025-10-20
4,223,83,2025-03-16
4,246,390,2025-12-06
4,235,149,2025-07-31
4,53,411,2025-04-03
4,112,228,2025-07-09
4,94,33,2025-09-19
4,961,204,2025-04-20
4,86,2,2025-06-30
4,763,192,2025-09-24
4,349,97,2025-09-22
4,933,348,2026-01-30
4,178,418,2025-08-23
4,710,122,2025-05-19
4,452,355,2025-06-03
4,29,51,2025-10-05
4,83,191,2025-07-16
4,397,121,2026-02-09
4,358,171,2025-08-27
4,375,5,2025-12-20
4,421,299,2025-05-24
4,519,392,2025-07-22
4,901,131,2025-08-14
4,686,477,2025-10-31
4,698,489,2025-05-24
4,635,141,2025-06-02
4,886,40,2025-11-24
4,231,99,2026-02-26
4,963,377,2026-02-26
4,669,318,2026-02-22
4,93,184,2025-12-25
4,129,361,2025-04-11
4,545,35,2025-07-18
4,383,441,2025-10-12
4,845,175,2025-04-21
4,413,458,2025-08-10
4,690,227,2025-09-20
4,227,328,2025-08-30
4,914,229,2026-01-17
4,636,423,2025-07-30
4,507,466,2025-09-19
4,718,190,2025-04-09
4,632,226,2025-11-26
4,540,437,2025-03-30
4,145,475,2025-05-13
4,777,202,2025-06-02
4,989,242,2025-04-02
4,426,4,2025-06-10
4,849,317,2025-10-23
4,746,11,2025-04-08
4,132,85,2025-03-26
4,716,59,2025-08-27
4,640,127,2025-04-26
4,45,34,2025-05-31
4,510,422,2025-05-24
4,150,6,2026-02-18
4,929,335,2025-12-19
4,301,24,2025-06-12
4,247,1,2025-12-23
4,102,439,2026-01-24
4,866,51,2025-03-31
4,891,371,2025-07-20
4,523,72,2025-09-28
4,546,63,2025-08-13
4,537,412,2025-11-10
4,630,271,2025-12-25
4,149,249,2025-09-23
4,343,441,2026-03-06
4,374,382,2026-02-11
4,44,141,2025-03-18
4,289,261,2025-07-04
4,167,125,2025-10-09
4,664,342,2025-12-17
4,210,97,2025-10-13
4,161,216,2025-07-12
4,506,169,2025-12-27
4,753,52,2025-04-09
4,217,51,2026-02-12
4,134,135,2026-01-02
4,766,353,2025-09-23
4,156,136,2026-01-26
4,511,308,2025-12-25
4,184,248,2025-05-14
4,133,105,2025-09-22
4,67,235,2025-03-16
4,846,0,2025-04-13
4,994,146,2025-06-03
5,795,184,2026-01-04
5,815,195,2025-07-25
5,881,93,2025-12-22
5,335,393,2025-05-13
5,691,279,2025-07-12
5,234,84,2025-06-08
5,758,173,2026-02-23
5,786,442,2025-05-18
5,534,457,2026-02-11
5,283,232,2025-07-02
5,224,369,2025-12-14
5,289,305,2025-10-22
5,188,492,2025-08-09
5,964,1,2026-02-05
5,422,144,2025-06-04
5,204,134,2025-05-06
5,572,214,2025-03-17
5,921,285,2026-03-06
5,107,204,2025-06-27
5,494,329,2025-11-16
5,830,446,2025-12-12
5,115,22,2026-03-12
5,425,134,2025-08-13
5,292,134,2026-01-29
5,147,250,2026-01-22
5,555,2,2025-04-15
5,310,474,2025-12-27
5,849,15,2025-07-28
5,172,146,2026-03-09
5,790,58,2025-12-05
5,927,201,2025-04-10
5,818,240,2025-10-27
5,995,457,2025-08-27
5,41,42,2025-03-28
5,972,13,2025-07-07
5,770,442,2025-04-21
5,216,477,2025-09-23
5,648,279,2025-05-10
5,4,355,2025-12-23
5,485,113,2026-01-04
5,531,10,2025-08-18
5,16,194,2026-03-05
5,138,160,2025-06-04
5,282,60,2025-11-14
5,722,37,2025-04-14
5,439,114,2025-03-29
5,696,47,2025-10-04
5,246,365,2025-03-19
5,741,320,2026-02-08
5,136,372,2025-07-28
5,23,363,2025-07-10
5,34,282,2025-04-04
5,975,423,2025-06-10
5,436,181,2025-03-30
5,597,110,2025-09-19
5,973,278,2026-03-11
5,314,31,2025-10-14
5,178,90,2025-03-24
5,554,181,2025-03-19
5,524,220,2025-04-18
5,998,234,2025-08-04
5,951,139,2025-07-25
5,581,465,2025-12-20
5,195,485,2026-02-19
5,652,420,2025-07-06
5,729,115,2026-02-02
5,579,476,2025-03-21
5,934,186,2025-06-06
5,692,247,2025-06-04
5,763,190,2025-10-11
5,401,268,2026-02-22
5,639,134,2025-10-16
5,295,24,2025-03-25
5,731,267,2025-05-24
5,976,282,2025-11-19
5,77,446,2025-07-02
5,519,229,2025-06-02
5,428,309,2025-08-08
5,947,119,2026-01-20
5,459,51,2025-06-01
5,186,429,2025-11-27
5,200,334,2025-07-02
5,464,0,2025-11-10
5,102,65,2025-09-13
5,930,175,2026-03-02
5,79,394,2026-01-30
5,151,206,2025-04-10
5,45,86,2025-05-28
5,737,388,2025-05-05
5,8,478,2026-03-11
5,846,199,2025-06-09
5,662,55,2025-07-09
5,877,45,2026-02-10
5,325,22,2025-05-12
5,214,403,2025-12-04
5,532,394,2026-02-17
5,647,265,2025-10-12
5,643,442,2025-06-14
5,782,54,2025-06-15
5,258,444,2025-03-18
6,370,189,2025-05-27
6,320,284,2025-04-13
6,253,381,2025-11-11
6,543,457,2025-06-07
6,521,102,2025-09-29
6,28,30,2026-03-11
6,881,345,2025-10-08
6,580,219,2025-10-08
6,869,316,2025-03-22
6,978,451,2025-08-30
6,596,76,2025-04-19
6,330,321,2025-04-26
6,302,291,2025-06-23
6,976,307,2025-03-24
6,278,250,2026-01-22
6,339,354,2025-06-30
6,29,334,2025-11-16
6,883,479,2026-02-16
6,804,252,2026-02-26
6,992,272,2026-02-20
6,975,498,2025-03-29
6,701,240,2026-01-15
6,44,480,2025-07-10
6,192,279,2025-08-31
6,110,308,2025-09-09
6,936,271,2026-02-04
6,55,224,2025-09-19
6,736,341,2025-12-29
6,208,0,2025-05-23
6,963,82,2025-09-07
6,681,356,2025-12-21
6,116,342,2026-02-27
6,258,72,2025-08-26
6,670,207,2025-04-21
6,560,273,2025-03-15
6,940,282,2025-04-10
6,182,16,2025-06-02
6,663,471,2025-08-12
6,891,484,2025-09-19
6,1,349,2026-01-27
6,581,365,2026-02-04
6,796,387,2026-01-31
6,257,271,2025-04-03
6,941,246,2025-06-11
6,345,12,2025-11-02
6,740,262,2025-07-05
6,217,402,2026-02-16
6,380,170,2025-06-09
6,935,406,2025-06-01
6,955,170,2025-04-12
6,646,180,2025-08-24
6,572,254,2025-06-27
6,295,299,2025-05-29
6,66,291,2026-02-18
6,400,306,2026-02-14
6,434,213,2025-05-11
6,92,406,2026-02-07
6,553,38,2025-07-14
6,937,483,2026-03-07
6,204,13,2025-11-06
6,422,101,2025-04-02
6,242,19,2025-12-19
6,485,460,2026-02-23
6,539,158,2026-02-07
6,455,95,2025-07-23
6,665,134,2025-06-12
6,499,199,2026-03-09
6,664,421,2026-01-17
6,158,277,2025-03-15
6,965,74,2026-02-26
6,888,118,2025-05-26
6,972,155,2025-06-18
6,315,463,2025-05-10
6,301,347,2025-12-04
6,453,150,2026-03-11
6,865,225,2025-05-03
6,658,145,2025-12-16
6,839,78,2026-01-01
6,154,432,2025-06-20
6,985,312,2025-06-10
6,490,183,2025-03-17
6,721,182,2026-01-22
6,717,494,2025-04-29
6,841,254,2026-02-12
6,638,222,2025-11-04
6,752,460,2025-09-02
6,493,164,2025-08-21
6,440,132,2025-08-18
6,686,227,2025-10-25
6,210,440,2026-01-10
6,151,366,2025-09-25
6,675,278,2025-09-18
6,662,294,2026-01-01
6,727,119,2025-11-07
6,111,248,2025-05-30
6,565,290,2025-05-05
6,195,483,2025-04-27
6,160,466,2025-03-27
6,610,244,2025-11-03
6,1000,339,2025-06-02
7,198,4,2025-07-26
7,40,130,2026-02-14
7,12,407,2026-03-14
7,763,186,2025-05-26
7,30,312,2025-08-06
7,336,43,2025-12-13
7,810,489,2025-12-09
7,513,290,2025-05-27
7,566,284,2025-05-29
7,688,497,2025-04-27
7,903,357,2025-12-20
7,671,468,2025-07-04
7,478,221,2025-12-15
7,324,211,2026-01-07
7,66,223,2025-04-12
7,14,318,2025-10-07
7,105,320,2025-09-04
7,391,25,2025-09-13
7,433,486,2025-08-28
7,339,287,2025-06-26
7,512,180,2026-02-26
7,27,0,2026-01-30
7,461,340,2025-09-22
7,300,425,2025-12-30
7,4,235,2025-08-24
7,699,83,2025-09-09
7,935,226,2025-11-10
7,664,112,2025-07-03
7,412,111,2025-12-16
7,346,479,2025-09-30
7,668,405,2025-07-22
7,914,450,2025-10-14
7,713,313,2026-03-02
7,653,444,2025-09-24
7,466,104,2025-06-12
7,215,432,2025-03-17
7,650,422,2025-06-03
7,596,17,2025-11-18
7,957,261,2026-01-07
7,235,79,2025-04-11
7,614,56,2025-09-23
7,827,255,2025-11-05
7,770,231,2025-04-05
7,826,451,2025-10-19
7,106,341,2026-03-02
7,380,127,2026-01-22
7,374,395,2026-03-07
7,865,372,2026-02-10
7,430,16,2025-03-21
7,695,251,2025-05-16
7,521,255,2025-11-27
7,424,148,2025-07-26
7,362,249,2025-06-18
7,543,228,2026-01-12
7,838,333,2025-06-22
7,270,77,2025-08-14
7,923,406,2025-10-01
7,238,54,2026-02-28
7,110,55,2026-03-10
7,708,195,2025-07-24
7,900,325,2025-05-04
7,10,90,2025-05-14
7,343,363,2025-05-07
7,846,119,2025-12-07
7,120,83,2025-09-14
7,709,212,2025-06-14
7,929,201,2025-05-22
7,71,344,2025-08-13
7,723,95,2025-10-26
7,456,397,2025-05-22
7,265,403,2025-12-23
7,411,186,2025-05-02
7,621,347,2025-05-08
7,756,198,2025-06-29
7,302,251,2025-11-05
7,194,363,2025-06-17
7,387,416,2026-03-07
7,24,65,2025-08-27
7,725,265,2026-03-08
7,377,142,2025-07-09
7,706,26,2025-07-20
7,913,486,2025-04-11
7,320,114,2025-04-08
7,210,157,2026-01-17
7,74,312,2025-11-25
7,397,480,2025-04-27
7,36,423,2026-02-05
7,869,162,2025-10-18
7,480,261,2025-10-07
7,44,442,2025-10-19
7,847,180,2025-05-25
7,455,165,2025-03-18
7,924,66,2025-11-28
7,956,245,2026-03-13
7,87,106,2026-03-04
7,518,297,2025-11-19
7,97,82,2025-05-05
7,396,380,2025-08-23
7,879,372,2025-06-27
7,857,11,2025-11-21
8,422,206,2026-02-26
8,300,385,2026-03-05
8,50,229,2026-01-09
8,805,52,2026-03-14
8,448,256,2025-12-21
8,952,153,2025-10-05
8,241,37,2025-07-04
8,676,190,2026-01-26
8,877,437,2025-08-19
8,640,3,2025-10-20
8,982,372,2025-12-25
8,603,468,2026-01-17
8,947,25,2026-03-08
8,215,14,2025-04-01
8,836,121,2025-03-29
8,556,250,2025-10-04
8,656,375,2025-07-21
8,981,297,2025-05-18
8,65,10,2026-03-08
8,734,152,2026-01-07
8,64,340,2025-10-16
8,338,171,2025-07-23
8,732,62,2025-07-21
8,445,451,2025-07-18
8,668,473,2025-12-26
8,158,4,2025-10-26
8,664,287,2026-03-02
8,874,133,2025-06-06
8,872,449,2025-06-26
8,485,478,2025-11-06
8,852,257,2025-11-17
8,609,447,2025-03-25
8,348,89,2025-09-15
8,98,271,2025-04-20
8,273,21,2025-07-24
8,259,237,2025-05-24
8,999,51,2025-06-16
8,939,395,2025-03-22
8,716,113,2025-07-08
8,169,40,2025-05-21
8,308,304,2026-02-04
8,525,75,2025-07-21
8,557,12,2025-04-17
8,789,255,2025-08-23
8,581,103,2025-03-27
8,2,328,2026-02-25
8,62,373,2026-03-10
8,914,325,2025-04-30
8,162,390,2025-03-14
8,703,273,2025-07-17
8,397,157,2025-07-02
8,238,10,2025-09-15
8,212,416,2025-06-21
8,134,206,2025-06-20
8,260,262,2026-03-01
8,510,416,2025-04-21
8,463,393,2025-09-12
8,622,325,2025-07-06
8,22,133,2026-02-25
8,669,121,2026-03-04
8,114,135,2025-05-04
8,140,79,2025-10-07
8,125,304,2026-03-04
8,122,24,2025-05-18
8,126,122,2025-08-28
8,855,238,2025-10-28
8,775,412,2025-12-14
8,885,461,2025-10-31
8,643,144,2025-03-22
8,432,53,2025-09-10
8,700,241,2025-09-11
8,398,407,2025-11-04
8,491,7,2025-09-25
8,913,33,2026-03-12
8,295,90,2025-07-26
8,962,13,2025-04-15
8,330,316,2025-06-25
8,91,268,2025-05-24
8,880,476,2025-11-05
8,187,52,2025-06-09
8,101,39,2025-12-25
8,717,323,2025-11-30
8,100,218,2025-07-05
8,792,110,2026-02-28
8,199,360,2026-03-06
8,797,38,2025-06-21
8,801,354,2025-12-04
8,170,96,2025-06-04
8,625,399,2025-04-06
8,184,422,2025-05-15
8,823,413,2025-12-01
8,618,207,2025-07-23
8,817,202,2026-01-26
8,256,202,2025-05-16
8,627,164,2025-04-15
8,835,434,2025-07-03
8,897,158,2025-04-16
8,211,444,2025-12-29
8,145,12,2025-10-20
8,331,21,2025-10-05
9,389,258,2025-11-10
9,951,146,2025-03-24
9,775,81,2026-01-20
9,413,86,2026-02-02
9,861,62,2025-12-12
9,383,133,2025-08-15
9,279,376,2025-03-16
9,284,392,2026-02-06
9,552,381,2025-07-08
9,651,393,2025-04-12
9,938,71,2025-03-30
9,549,293,2026-03-07
9,914,209,2026-02-11
9,437,77,2025-12-10
9,874,95,2025-06-17
9,899,477,2025-07-20
9,762,22,2025-03-16
9,272,415,2026-02-18
9,249,317,2025-04-22
9,865,419,2025-08-11
9,892,135,2025-09-19
9,103,250,2025-12-30
9,246,338,2025-04-29
9,690,35,2025-08-16
9,553,270,2026-01-04
9,403,34,2025-05-27
9,137,328,2025-08-14
9,232,422,2025-05-04
9,466,365,2025-09-07
9,174,420,2025-03-21
9,129,139,2025-07-13
9,755,438,2026-01-19
9,726,370,2025-12-13
9,699,242,2025-04-10
9,945,45,2025-07-31
9,730,393,2025-10-05
9,768,360,2025-03-14
9,4,10,2025-11-01
9,849,358,2025-11-08
9,70,159,2026-01-22
9,46,40,2025-10-19
9,375,97,2025-06-18
9,679,85,2026-01-20
9,100,103,2025-08-10
9,736,146,2025-08-11
9,204,231,2026-01-23
9,219,133,2025-05-01
9,759,287,2026-02-14
9,241,217,2025-12-26
9,372,62,2025-05-20
9,439,245,2025-12-15
9,394,87,2026-03-07
9,548,302,2025-04-24
9,555,55,2025-12-30
9,114,159,2025-08-16
9,408,275,2025-12-14
9,818,323,2026-03-13
9,462,248,2025-05-09
9,8,485,2025-11-07
9,465,80,2025-10-26
9,35,282,2026-02-15
9,356,65,2025-11-10
9,346,232,2025-03-26
9,937,370,2026-01-15
9,581,211,2026-01-23
9,489,408,2025-11-03
9,789,2,2025-04-18
9,37,101,2026-01-29
9,533,369,2025-06-14
9,177,242,2025-04-20
9,860,160,2025-09-17
9,970,40,2026-01-26
9,123,427,2025-11-10
9,706,132,2025-09-22
9,207,448,2025-08-17
9,198,444,2025-04-27
9,723,477,2025-07-26
9,538,408,2025-11-29
9,569,201,2025-05-04
9,115,164,2026-02-04
9,944,209,2025-09-09
9,702,340,2025-07-09
9,442,67,2025-07-12
9,430,415,2026-01-15
9,175,494,2025-08-01
9,309,284,2025-06-30
9,984,270,2025-12-12
9,584,80,2025-11-15
9,210,89,2026-02-12
9,392,86,2025-11-07
9,57,474,2025-05-10
9,218,282,2025-05-10
9,612,7,2025-11-08
9,312,363,2025-07-11
9,791,289,2025-06-14
9,72,373,2025-11-29
9,190,14,2025-10-05
9,328,458,2026-01-13
9,102,285,2026-01-22
9,562,168,2025-03-28
10,313,422,2025-12-30
10,250,415,2025-05-10
10,730,463,2025-07-02
10,157,158,2026-01-03
10,325,275,2025-07-24
10,580,154,2025-06-11
10,802,230,2026-03-13
10,566,498,2025-09-19
10,361,202,2026-03-12
10,900,491,2026-02-02
10,771,351,2025-05-17
10,949,478,2025-07-17
10,280,145,2025-11-27
10,989,65,2025-12-09
10,151,79,2026-01-10
10,964,239,2025-04-07
10,936,118,2025-09-14
10,283,279,2025-10-29
10,345,360,2026-02-22
10,134,105,2025-12-28
10,603,318,2025-05-13
10,781,128,2025-09-25
10,18,80,2025-04-14
10,845,468,2025-06-03
10,719,239,2025-08-21
10,674,258,2025-11-15
10,126,315,2025-09-16
10,539,357,2025-04-22
10,286,216,2025-11-10
10,267,218,2025-05-23
10,531,40,2026-01-16
10,194,48,2025-11-30
10,212,260,2025-07-08
10,596,346,2025-10-10
10,20,290,2025-04-06
10,958,343,2025-11-24
10,293,343,2026-03-04
10,456,214,2025-08-23
10,359,123,2026-01-11
10,714,184,2025-12-19
10,406,254,2026-01-30
10,798,363,2025-04-02
10,942,483,2025-07-23
10,290,70,2025-07-21
10,944,14,2025-11-28
10,967,379,2026-01-26
10,528,484,2025-03-17
10,119,254,2025-12-22
10,554,38,2025-07-07
10,110,426,2025-09-23
10,182,58,2025-05-17
10,178,251,2026-01-31
10,662,327,2025-07-06
10,10,204,2026-01-08
10,258,284,2025-11-15
10,938,67,2025-03-24
10,952,81,2025-12-23
10,640,401,2025-12-20
10,677,467,2025-08-19
10,450,393,2025-10-21
10,887,335,2026-01-27
10,411,391,2025-09-19
10,753,439,2025-03-19
10,504,380,2026-01-10
10,790,233,2025-09-03
10,255,292,2025-05-07
10,316,58,2025-10-08
10,705,389,2025-09-08
10,675,175,2025-05-13
10,167,418,2025-08-04
10,490,74,2026-02-25
10,118,54,2026-01-23
10,519,75,2026-02-11
10,529,429,2025-08-20
10,281,267,2025-10-16
10,536,97,2025-11-24
10,29,271,2025-05-07
10,15,46,2025-07-29
10,991,480,2025-04-19
10,869,122,2025-05-05
10,913,52,2025-12-02
10,614,358,2026-01-04
10,650,444,2025-12-03
10,823,227,2025-11-03
10,64,452,2025-05-24
10,144,258,2025-03-28
10,12,360,2025-11-23
10,681,5,2025-10-30
10,853,236,2025-07-29
10,729,116,2025-06-18
10,402,438,2026-01-11
10,653,453,2025-07-28
10,575,376,2026-03-09
10,71,180,2025-05-02
10,94,237,2025-06-02
10,438,93,2025-12-26
10,327,21,2025-07-09
10,302,85,2025-11-03
10,298,403,2026-02-10
10,943,87,2025-05-13
11,133,60,2026-03-06
11,122,59,2025-04-12
11,307,369,2025-07-21
11,447,148,2025-10-30
11,173,426,2025-07-14
11,142,83,2025-12-11
11,84,70,2026-03-03
11,90,289,2025-06-06
11,320,353,2025-05-05
11,646,112,2025-05-18
11,887,344,2025-07-19
11,120,126,2025-04-14
11,446,451,2025-04-23
11,942,227,2025-05-25
11,340,215,2025-10-01
11,847,96,2025-05-19
11,251,73,2025-12-07
11,667,36,2025-12-10
11,788,78,2025-11-19
11,719,144,2025-04-13
11,76,238,2025-11-12
11,395,293,2025-10-05
11,508,325,2025-05-01
11,268,481,2025-09-21
11,386,411,2025-09-06
11,348,326,2025-11-19
11,193,191,2025-03-15
11,920,294,2025-05-16
11,492,468,2025-07-11
11,710,120,2025-06-18
11,716,321,2025-04-25
11,573,213,2025-12-11
11,515,440,2025-06-30
11,703,417,2025-09-06
11,450,231,2025-08-28
11,733,48,2025-04-22
11,691,55,2025-10-26
11,135,227,2025-06-06
11,280,260,2025-06-02
11,321,268,2025-11-07
11,595,388,2025-05-17
11,938,178,2025-07-04
11,141,235,2026-03-12
11,413,443,2025-12-24
11,949,217,2025-09-09
11,843,331,2025-04-11
11,86,173,2025-08-30
11,248,369,2025-05-14
11,312,409,2025-11-30
11,399,190,2025-03-26
11,378,301,2025-10-25
11,292,88,2025-10-15
11,907,213,2025-05-11
11,140,34,2025-08-01
11,246,116,2026-02-25
11,572,498,2026-03-09
11,441,51,2025-10-09
11,527,144,2025-09-03
11,242,468,2025-08-15
11,481,297,2025-06-15
11,345,406,2025-08-14
11,940,188,2025-09-09
11,861,426,2026-01-17
11,976,186,2025-07-08
11,612,16,2025-08-10
11,800,106,2025-10-29
11,650,28,2025-12-24
11,387,327,2025-07-13
11,606,70,2025-05-01
11,276,101,2025-08-02
11,385,437,2025-09-03
11,201,254,2025-04-19
11,840,324,2025-05-30
11,338,474,2025-06-04
